system   D            wsystem.c:583  maybe_parent_dir                 [   0.00046] Also searching C:\Users\c0020358\Desktop\LUA\LUA_Attack\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00070] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00072] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01074] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.07731] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.07736] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.07914] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.07916] al_display=02D741C0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.07917] al_display->vt=02D74108
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08654] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.08657] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08659] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08660] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08662] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08663] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08664] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08665] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08666] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08667] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08668] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08669] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08671] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08672] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08673] Score is : 897
